Ticker,Type,Entry Date,Exit Date,Exit Reason,Entry Price,Exit Price,Qty,Gross P/L,Brokerage,Net P/L,Return %,Cumulative P/L,Equity
^NSEI,LONG,2024-11-18 05:45,2024-11-19 08:45,T3 Cross Down,23477.7,23492.55,21,311.88,1479.56,-1167.68,-0.24,-249160.39000000007,1750839.6099999999
^NSEI,SHORT,2024-11-19 08:45,2024-11-22 03:45,T3 Cross Up,23492.55,23575.5,21,-1741.93,1482.64,-3224.58,-0.65,-252384.97000000006,1747615.03
^NSEI,LONG,2024-11-22 03:45,2024-11-26 04:45,T3 Cross Down,23575.5,24211.1,21,13347.59,1505.28,11842.31,2.39,-240542.66000000006,1759457.3399999999
^NSEI,SHORT,2024-11-26 04:45,2024-11-27 06:45,T3 Cross Up,24211.1,24321.45,20,-2206.99,1455.98,-3662.97,-0.76,-244205.63000000006,1755794.3699999999
^NSEI,LONG,2024-11-27 06:45,2024-11-28 04:45,T3 Cross Down,24321.45,24087.9,20,-4670.98,1452.28,-6123.26,-1.26,-250328.89000000007,1749671.1099999999
^NSEI,SHORT,2024-11-28 04:45,2024-11-29 04:45,T3 Cross Up,24087.9,24120.9,20,-660.0,1446.26,-2106.26,-0.44,-252435.15000000008,1747564.8499999999
^NSEI,LONG,2024-11-29 04:45,2024-12-04 05:45,T3 Cross Down,24120.9,24449.7,20,6575.98,1457.12,5118.86,1.06,-247316.2900000001,1752683.71
^NSEI,SHORT,2024-12-04 05:45,2024-12-04 07:45,T3 Cross Up,24449.7,24532.4,20,-1654.02,1469.46,-3123.49,-0.64,-250439.7800000001,1749560.22
^NSEI,LONG,2024-12-04 07:45,2024-12-04 08:45,T3 Cross Down,24532.4,24467.95,20,-1289.02,1470.01,-2759.03,-0.56,-253198.81000000008,1746801.19
^NSEI,SHORT,2024-12-04 08:45,2024-12-05 05:45,T3 Cross Up,24467.95,24589.9,20,-2439.02,1471.74,-3910.76,-0.8,-257109.5700000001,1742890.43
^NSEI,LONG,2024-12-05 05:45,2024-12-06 07:45,T3 Cross Down,24589.9,24692.85,20,2058.98,1478.48,580.5,0.12,-256529.0700000001,1743470.93
^NSEI,SHORT,2024-12-06 07:45,2024-12-10 03:45,T3 Cross Up,24692.85,24656.7,20,723.01,1480.49,-757.48,-0.15,-257286.5500000001,1742713.45
^NSEI,LONG,2024-12-10 03:45,2024-12-10 05:45,T3 Cross Down,24656.7,24620.8,20,-717.97,1478.32,-2196.29,-0.45,-259482.8400000001,1740517.16
^NSEI,SHORT,2024-12-10 05:45,2024-12-10 09:45,T3 Cross Up,24620.8,24620.5,20,6.02,1477.24,-1471.22,-0.3,-260954.0600000001,1739045.94
^NSEI,LONG,2024-12-10 09:45,2024-12-11 09:45,T3 Cross Down,24620.5,24629.5,20,180.0,1477.5,-1297.5,-0.26,-262251.5600000001,1737748.44
^NSEI,SHORT,2024-12-11 09:45,2024-12-13 05:45,T3 Cross Up,24629.5,24560.45,20,1381.02,1475.7,-94.68,-0.02,-262346.2400000001,1737653.7599999998
^NSEI,LONG,2024-12-13 05:45,2024-12-16 05:45,T3 Cross Down,24560.45,24606.45,20,920.0,1475.01,-555.01,-0.11,-262901.2500000001,1737098.75
^NSEI,SHORT,2024-12-16 05:45,2024-12-16 06:45,T3 Cross Up,24606.45,24663.2,20,-1135.0,1478.09,-2613.09,-0.53,-265514.34000000014,1734485.66
^NSEI,LONG,2024-12-16 06:45,2024-12-16 07:45,T3 Cross Down,24663.2,24660.5,20,-53.98,1479.71,-1533.7,-0.31,-267048.04000000015,1732951.96
^NSEI,SHORT,2024-12-16 07:45,2024-12-20 04:45,T3 Cross Up,24660.5,23958.9,20,14031.99,1458.58,12573.41,2.55,-254474.63000000015,1745525.3699999999
^NSEI,LONG,2024-12-20 04:45,2024-12-20 05:45,T3 Cross Down,23958.9,23889.1,20,-1396.02,1435.44,-2831.46,-0.59,-257306.09000000014,1742693.91
^NSEI,SHORT,2024-12-20 05:45,2024-12-23 03:45,T3 Cross Up,23889.1,23769.35,20,2395.0,1429.75,965.25,0.2,-256340.84000000014,1743659.16
^NSEI,LONG,2024-12-23 03:45,2024-12-23 06:45,T3 Cross Down,23769.35,23681.2,21,-1851.16,1494.69,-3345.85,-0.67,-259686.69000000015,1740313.3099999998
^NSEI,SHORT,2024-12-23 06:45,2024-12-23 07:45,T3 Cross Up,23681.2,23699.1,21,-375.91,1492.48,-1868.39,-0.38,-261555.08000000016,1738444.92
^NSEI,LONG,2024-12-23 07:45,2024-12-24 08:45,T3 Cross Down,23699.1,23718.95,21,416.84,1493.67,-1076.83,-0.22,-262631.91000000015,1737368.0899999999
^NSEI,SHORT,2024-12-24 08:45,2024-12-26 04:45,T3 Cross Up,23718.95,23759.95,21,-861.0,1495.59,-2356.59,-0.47,-264988.5000000002,1735011.4999999998
^NSEI,LONG,2024-12-26 04:45,2024-12-26 05:45,T3 Cross Down,23759.95,23734.7,21,-530.25,1496.08,-2026.33,-0.41,-267014.8300000002,1732985.17
^NSEI,SHORT,2024-12-26 05:45,2024-12-26 06:45,T3 Cross Up,23734.7,23750.65,21,-334.97,1495.79,-1830.76,-0.37,-268845.5900000002,1731154.4099999997
^NSEI,LONG,2024-12-26 06:45,2024-12-26 07:45,T3 Cross Down,23750.65,23745.35,21,-111.32,1496.12,-1607.44,-0.32,-270453.0300000002,1729546.9699999997
^NSEI,SHORT,2024-12-26 07:45,2024-12-26 08:45,T3 Cross Up,23745.35,23754.95,21,-201.59,1496.26,-1697.85,-0.34,-272150.8800000002,1727849.1199999999
^NSEI,LONG,2024-12-26 08:45,2024-12-27 08:45,T3 Cross Down,23754.95,23807.7,21,1107.75,1498.22,-390.47,-0.08,-272541.35000000015,1727458.65
